"season","mean_temp_change","median_temp_change","sd_temp_change","range"
"annual",0.013,0.012,0.0684838576459898,0.490657927080611
"winter",-0.001,0.003,0.0791701276226684,0.670206615285611
"autumn",0.001,0.014,0.099114876111543,0.920304408255425
"summer",0.053,0.048,0.109396415183287,0.855812577510999
"spring",0.011,0.003,0.119907815974004,0.923481425283149
