"district","LID","sen_slope","sen_signif","n_lakes"
"Auckland (Auckland)","45811",0.374921502702487,0.0763327403763572,18
"Auckland (Auckland)","45812",0.548670601135491,0.00914914757959376,18
"Auckland (Auckland)","45813",0.247234871478638,0.251452186508022,18
"Auckland (Auckland)","45814",0.246398461618941,0.348082623632924,18
"Auckland (Auckland)","45818",0.211166427926685,0.028567681801513,18
"Auckland (Auckland)","45819",0.174161398477237,0.251452186508022,18
"Auckland (Auckland)","45905",0.559282307646033,0.028567681801513,18
"Auckland (Auckland)","45935",0.255574281079578,0.251452186508022,18
"Auckland (Auckland)","45947",0.123835013739783,0.602167527748196,18
"Auckland (Auckland)","49291",0.121323534219527,0.754454177494089,18
"Auckland (Auckland)","49294",0.441391137121345,0.0164886567276701,18
"Auckland (Auckland)","49295",0.500796219363227,0.251452186508022,18
"Auckland (Auckland)","49309",0.477772436366557,0.117850895021365,18
"Auckland (Auckland)","49337",0.44105931141934,0.0164886567276701,18
"Auckland (Auckland)","51224",0.333959058373191,0.251452186508022,18
"Auckland (Auckland)","51242",0.195221946482887,0.754454177494089,18
"Auckland (Auckland)","51368",0.145218997626881,0.602167527748196,18
"Auckland (Auckland)","51371",0.523533008771386,0.0763327403763572,18
"Blenheim (Marlborough)","25432",0.462232768268711,0.175308080808274,7
"Blenheim (Marlborough)","25994",0.323205632338263,0.754454177494089,7
"Blenheim (Marlborough)","25998",0.376764454565275,0.602167527748196,7
"Blenheim (Marlborough)","27286",0.374377586053605,0.251452186508022,7
"Blenheim (Marlborough)","27572",-0.467956532142261,0.251452186508022,7
"Blenheim (Marlborough)","28066",0.288447231046248,0.348082623632924,7
"Blenheim (Marlborough)","28197",-0.0296986518196745,0.916965236628864,7
"Christchurch (Canterbury)","25972",0.826899271652894,0.175308080808274,12
"Christchurch (Canterbury)","39122",-0.542142622157384,0.251452186508022,12
"Christchurch (Canterbury)","41365",-0.321963678087005,0.175308080808274,12
"Christchurch (Canterbury)","47579",0.190814291248483,0.602167527748196,12
"Christchurch (Canterbury)","48177",0.386211472428216,0.0763327403763572,12
"Christchurch (Canterbury)","48447",-0.151918214725417,0.348082623632924,12
"Christchurch (Canterbury)","48597",-0.346609603489187,0.251452186508022,12
"Christchurch (Canterbury)","48657",-0.166592351361782,0.754454177494089,12
"Christchurch (Canterbury)","48660",0.212004547519657,0.348082623632924,12
"Christchurch (Canterbury)","48669",-0.3059564238878,0.251452186508022,12
"Christchurch (Canterbury)","48679",-0.325664317544063,0.175308080808274,12
"Christchurch (Canterbury)","48700",0.390853324143271,0.465512169874187,12
"Dannevirke (Manawatu-Whanganui)","32805",0.477302787433931,0.0490979816092656,5
"Dannevirke (Manawatu-Whanganui)","33309",0.767325773524621,0.00729035809153564,5
"Dannevirke (Manawatu-Whanganui)","4925",0.592892003739151,0.0763327403763572,5
"Dannevirke (Manawatu-Whanganui)","4926",0.161779822307114,0.602167527748196,5
"Dannevirke (Manawatu-Whanganui)","5955",-0.00920269638256261,1,5
"Dunedin (Otago)","1553",-0.318824634568263,0.602167527748196,12
"Dunedin (Otago)","44391",0.177965827546028,0.602167527748196,12
"Dunedin (Otago)","44570",-0.0739297118092402,0.916965236628864,12
"Dunedin (Otago)","44574",-0.120589814560261,0.602167527748196,12
"Dunedin (Otago)","44599",0.306321594963676,0.117850895021365,12
"Dunedin (Otago)","44677",-0.491362830316064,0.251452186508022,12
"Dunedin (Otago)","44694",0.253307508734175,0.465512169874187,12
"Dunedin (Otago)","44746",0.0941320268666523,0.916965236628864,12
"Dunedin (Otago)","44747",-0.0549867746746386,0.465512169874187,12
"Dunedin (Otago)","45151",0.236502487125522,0.465512169874187,12
"Dunedin (Otago)","45153",0.217013641039358,0.348082623632924,12
"Dunedin (Otago)","45155",0.284096670267919,0.602167527748196,12
"Gisborne (Gisborne)","34663",0.545334927176006,0.175308080808274,17
"Gisborne (Gisborne)","34665",0.426210887985469,0.465512169874187,17
"Gisborne (Gisborne)","37607",0.562136970436898,0.0476039547278715,17
"Gisborne (Gisborne)","40050",0.225086320485432,0.028567681801513,17
"Gisborne (Gisborne)","40311",0.765661583241232,0.00914914757959376,17
"Gisborne (Gisborne)","40312",1.16326630232826,0.028567681801513,17
"Gisborne (Gisborne)","40321",0.76910694264042,0.012266061386213,17
"Gisborne (Gisborne)","40323",0.58180319936382,0.0318231273864902,17
"Gisborne (Gisborne)","40325",0.508639661693342,0.175308080808274,17
"Gisborne (Gisborne)","40326",0.396658888794274,0.107404636330254,17
"Gisborne (Gisborne)","40327",0.403600905437701,0.0200446686226275,17
"Gisborne (Gisborne)","40392",0.599916399247785,0.0736382701203027,17
"Gisborne (Gisborne)","40393",0.419810886609509,0.283130870662347,17
"Gisborne (Gisborne)","40396",-0.0876303165519609,0.602167527748196,17
"Gisborne (Gisborne)","40403",0.162349342614324,0.465512169874187,17
"Gisborne (Gisborne)","40521",0.421825971051513,0.348082623632924,17
"Gisborne (Gisborne)","40534",0.24240917469601,0.465512169874187,17
"Gore (Southland)","36046",0.286718778313037,0.602167527748196,3
"Gore (Southland)","44210",-0.234283630296968,0.348082623632924,3
"Gore (Southland)","50690",0.0512666836124088,0.916965236628864,3
"Hamilton (Waikato)","12591",0.302367284633276,0.028567681801513,47
"Hamilton (Waikato)","12830",0.469714797510221,0.251452186508022,47
"Hamilton (Waikato)","12831",0.218234873099215,0.348082623632924,47
"Hamilton (Waikato)","12872",0.16698356672573,0.175308080808274,47
"Hamilton (Waikato)","12873",0.377399100738881,0.117850895021365,47
"Hamilton (Waikato)","12876",0.547846520490362,0.028567681801513,47
"Hamilton (Waikato)","13736",0.464928436371061,0.251452186508022,47
"Hamilton (Waikato)","14405",0.302404282251592,0.0763327403763572,47
"Hamilton (Waikato)","14406",0.136388247063737,0.602167527748196,47
"Hamilton (Waikato)","14407",0.261376248381956,0.602167527748196,47
"Hamilton (Waikato)","14408",0.295642035630027,0.251452186508022,47
"Hamilton (Waikato)","14418",0.0417724436992772,1,47
"Hamilton (Waikato)","14422",0.334829713178462,0.0763327403763572,47
"Hamilton (Waikato)","14424",0.32260221794679,0.175308080808274,47
"Hamilton (Waikato)","14425",0.468294778188822,0.0763327403763572,47
"Hamilton (Waikato)","14426",0.114278421314356,0.465512169874187,47
"Hamilton (Waikato)","14428",0.284969011946228,0.175308080808274,47
"Hamilton (Waikato)","14541",0.0391269991221612,0.916965236628864,47
"Hamilton (Waikato)","14546",0.447493821471156,0.348082623632924,47
"Hamilton (Waikato)","14680",0.542546688269427,0.251452186508022,47
