rate_C_year,location,lat,long,spatial_extent,method_LSWT,method_LSWT_standard,method_trend,aggregation_mean_min_max_etc,annual_seasonal_data,temporal_aggregation,n_lakes,n_years,min_year,max_year,paper_source,citation,citation_short,journal,other notes?,link,comment from Whitney,comment on comparing studies,reviewer 1,reviewer 2,,,,,,
0.026,Lake Dianchi ,25,103,Point,Random Forest,Satellite,Mann-Kendall,,annual,annual,1,69,1951,2020,,"Duan, Z., Gao, W., Cheng, G., Zhang, Y., & Chang, X. (2024). Warming surface and Lake heatwaves as key drivers to harmful algal Blooms: A case study of Lake Dianchi, China. Journal of Hydrology, 632, 130971.",Duan et al. 2024,Journal of Hydrology ,,https://doi.org/10.1016/j.jhydrol.2024.130971,,"can you clarify how they used a random forest to generate LSWT values? Also clarify the method_LSWT_standard (modelled or satellite), and the method_trend. Buddhika, can you add what you think is the aggregation_mean_min_max_etc?",,BM,,,,,,
0.046,Lake Constance,47.61364325,9.398871537,point,in situ sensor,in situ,linear regression,mean,annual,annual,1,30,1981,2011,Scopus,"Fink, G., Schmid, M., Wahl, B., Wolf, T., & Wüest, A. (2014). Heat flux modifications related to climate‐induced warming of large European lakes. Water Resources Research, 50(3), 2072-2085.",Fink et al. 2014,Water Resources Research,includes a table of other studies with LSWT rates,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/2013WR014448,,,WW,MS,,,,,,
0.007,Tibetan Plateau,32,88,region,Air2water,modelled,linear regression (assumed),mean,annual (assumed),annual,96,21,2000,2022,Scopus,"Gan, F., Gao, Y., & Wei, Z. (2025). Changes in the summer seasonal cycle of lakes in the Inner Tibetan Plateau since the 21st century [Article]. Climatic Change, 178(4), Article 70. https://doi.org/10.1007/s10584-025-03911-w ",Gan et al. 2025,Climatic Change,,,,,MP,CB,,,,,,
0.078,Lake Sunapee,43.39186402,-72.05432706,point,Landsat,satellite,indicator variable regression model,median,summer (July - August),summer,1,35,1985,2020,google scholar,"Herrick, C., Steele, B. G., Brentrup, J. A., Cottingham, K. L., Ducey, M. J., Lutz, D. A., ... & Weathers, K. C. (2023). lakeCoSTR: A tool to facilitate use of Landsat Collection 2 to estimate lake surface water temperatures. Ecosphere, 14(1), e4357.","Herrick et al., 2022",Ecosphere,"Reports of average summer surface water temperature trends (typically averaged across July through September) across lakes globally range between 0.02 and 0.34C year1 for both in situ and remote sensing data (e.g., Carrea et al., 2020; Mason et al., 2016; O’Reilly et al., ; for the rate, I averaged the July August and September (Landsat) values; from the text:  average summer surface water temperature trends (typically averaged across July through September) across lakes globally range between 0.02 and 0.34°C year−1 for both in situ and remote sensing data (e.g., Carrea et al., 2020; Mason et al., 2016; O'Reilly et al., 2015; Pareeth et al., 2017; Piccolroaz et al., 2020; Schneider et al., 2009; Schneider & Hook, 2010).2015; Pareeth et al., 2017; Piccolroaz et al., 2020; Schneider et al., 2009; Schneider & Hook, 2010)",lakeCoSTR: A tool to facilitate use of Landsat Collection 2 to estimate lake surface water temperatures,,"double-check the rate (for the summer rate, I avg'ed the July August and September (Landsat) values from table 1), trend methodology, and temporal aggregation (in the Case Study Methods, they specify they used the median)",MA,WW,,,,,,
0.04,China,35,105,region,modelled (FLake),modelled,Sen's slope,mean,annual,annual,91,39,1979,2018,google scholar,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",JGR Atmospheres,"84% of lakes warmed, but seven lakes showed cooling higher rates in winter and spring than summer and autumn; driver analysis shows air temp, longwave, and wind speed are most important drivers",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,double-check if there should be only annual or if seasonal rates are also reported (following MS): WW confirmed seasonal rates should also be added,WW,MP,,,,,,
0.05,China,35,105,region,modelled (FLake),modelled,Sen's slope,mean,seasonal,winter,91,39,1979,2018,google scholar,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",JGR Atmospheres,"84% of lakes warmed, but seven lakes showed cooling higher rates in winter and spring than summer and autumn; driver analysis shows air temp, longwave, and wind speed are most important drivers",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,double-check if there should be only annual or if seasonal rates are also reported (following MS): WW confirmed seasonal rates should also be added,WW,MP,,,,,,
0.041,China,35,105,region,modelled (FLake),modelled,Sen's slope,mean,seasonal,spring,91,39,1979,2018,google scholar,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",JGR Atmospheres,"84% of lakes warmed, but seven lakes showed cooling higher rates in winter and spring than summer and autumn; driver analysis shows air temp, longwave, and wind speed are most important drivers",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,double-check if there should be only annual or if seasonal rates are also reported (following MS): WW confirmed seasonal rates should also be added,WW,MP,,,,,,
0.038,China,35,105,region,modelled (FLake),modelled,Sen's slope,mean,seasonal,autumn,91,39,1979,2018,google scholar,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",JGR Atmospheres,"84% of lakes warmed, but seven lakes showed cooling higher rates in winter and spring than summer and autumn; driver analysis shows air temp, longwave, and wind speed are most important drivers",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,double-check if there should be only annual or if seasonal rates are also reported (following MS): WW confirmed seasonal rates should also be added,WW,MP,,,,,,
0.029,China,35,105,region,modelled (FLake),modelled,Sen's slope,mean,seasonal,summer,91,39,1979,2018,google scholar,"Huang, L., Wang, X., Yan, Y., Jin, L., Yang, K., Chen, A., ... & Piao, S. (2023). Attribution of lake surface water temperature change in large lakes across China over past four decades. Journal of Geophysical Research: Atmospheres, 128(21), e2022JD038465.","Huang et al., 2023",JGR Atmospheres,"84% of lakes warmed, but seven lakes showed cooling higher rates in winter and spring than summer and autumn; driver analysis shows air temp, longwave, and wind speed are most important drivers",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022JD038465,,double-check if there should be only annual or if seasonal rates are also reported (following MS): WW confirmed seasonal rates should also be added,WW,MP,,,,,,
0.023,"Lake Inari, Arctic zone",69,28,point,modelled using machine learning + air temp,modelled,Pinhas's method (linear regression + ANOVA),none--daily estimates,annual (exluding ice period; Nov-Jun),annual,1,63,1960,2023,,"Kim, H. I., Kim, D., Salamattalab, M. M., Mahdian, M., Bateni, S. M., & Noori, R. (2024). Machine learning-based modeling of surface water temperature dynamics in arctic lakes. Environmental Science and Pollution Research, 31(49), 59642-59655.",Kim et al. 2004,Environmental Science and Pollution Research,they talk about Sen's slope but say Pinhas's method is better,https://link-springer-com.ezproxy.waikato.ac.nz/article/10.1007/s11356-024-35173-x,,"double-check the trend methodology, whether it was aggregated to mean (note from WW: I think they did not aggregate but ran the trend on all data)",WW,MP,,,,,,
