"site","season","slope_decade","conf_low_0.9","conf_low_0.66","conf_high_0.9","conf_high_0.66","trend_likelihood"
"Rotorua (Bay of Plenty)","Winter",0.14,0.06,0.09,0.22,0.19,"Very likely increasing"
"Rotorua (Bay of Plenty)","Summer",0.14,0.02,0.07,0.25,0.2,"Very likely increasing"
"Tara Hills (Canterbury)","Autumn",0.18,0.07,0.11,0.28,0.24,"Very likely increasing"
"Tara Hills (Canterbury)","Spring",0.18,0.08,0.12,0.27,0.23,"Very likely increasing"
"Tara Hills (Canterbury)","Winter",0.39,0.29,0.33,0.5,0.46,"Very likely increasing"
"Tara Hills (Canterbury)","Summer",0.18,0.05,0.11,0.32,0.26,"Very likely increasing"
"Taumarunui (Manawatū-Whanganui)","Autumn",0.03,-0.09,-0.04,0.15,0.1,"Likely increasing"
"Taumarunui (Manawatū-Whanganui)","Spring",-0.01,-0.12,-0.07,0.1,0.05,"Indeterminate"
"Taumarunui (Manawatū-Whanganui)","Winter",0.18,0.09,0.13,0.28,0.24,"Very likely increasing"
"Taumarunui (Manawatū-Whanganui)","Summer",0.07,-0.08,-0.02,0.23,0.16,"Indeterminate"
"Taupō (Waikato)","Autumn",0.09,-0.03,0.02,0.22,0.16,"Likely increasing"
"Taupō (Waikato)","Spring",0.04,-0.06,-0.02,0.14,0.1,"Likely increasing"
"Taupō (Waikato)","Winter",0.16,0.07,0.11,0.24,0.2,"Very likely increasing"
"Taupō (Waikato)","Summer",0.15,0.02,0.08,0.28,0.23,"Very likely increasing"
"Tauranga (Bay of Plenty)","Autumn",0.24,0.14,0.18,0.35,0.3,"Very likely increasing"
"Tauranga (Bay of Plenty)","Spring",0.19,0.1,0.14,0.28,0.24,"Very likely increasing"
"Tauranga (Bay of Plenty)","Winter",0.25,0.16,0.2,0.33,0.29,"Very likely increasing"
"Tauranga (Bay of Plenty)","Summer",0.31,0.21,0.25,0.42,0.37,"Very likely increasing"
"Timaru (Canterbury)","Autumn",0.03,-0.07,-0.03,0.13,0.09,"Likely increasing"
"Timaru (Canterbury)","Spring",0.02,-0.08,-0.04,0.11,0.07,"Indeterminate"
"Timaru (Canterbury)","Winter",0.1,0.02,0.05,0.18,0.14,"Very likely increasing"
"Timaru (Canterbury)","Summer",0.08,-0.05,0,0.2,0.15,"Likely increasing"
"Waiouru (Manawatū-Whanganui)","Autumn",0.2,0.07,0.12,0.32,0.27,"Very likely increasing"
"Waiouru (Manawatū-Whanganui)","Spring",0.1,-0.01,0.04,0.22,0.17,"Very likely increasing"
"Waiouru (Manawatū-Whanganui)","Winter",0.22,0.13,0.16,0.31,0.27,"Very likely increasing"
"Waiouru (Manawatū-Whanganui)","Summer",0.28,0.14,0.2,0.42,0.36,"Very likely increasing"
"Wellington (Wellington)","Autumn",0.15,0.05,0.09,0.26,0.21,"Very likely increasing"
"Wellington (Wellington)","Spring",0.1,0.02,0.05,0.19,0.15,"Very likely increasing"
"Wellington (Wellington)","Winter",0.25,0.18,0.21,0.33,0.3,"Very likely increasing"
"Wellington (Wellington)","Summer",0.14,0.01,0.06,0.27,0.22,"Very likely increasing"
"Whanganui (Manawatū-Whanganui)","Autumn",0.17,0.05,0.1,0.28,0.24,"Very likely increasing"
"Whanganui (Manawatū-Whanganui)","Spring",0.1,-0,0.04,0.2,0.16,"Very likely increasing"
"Whanganui (Manawatū-Whanganui)","Winter",0.28,0.2,0.23,0.36,0.32,"Very likely increasing"
"Whanganui (Manawatū-Whanganui)","Summer",0.18,0.02,0.08,0.33,0.27,"Very likely increasing"
"Whangaparāoa (Auckland)","Autumn",0.27,0.17,0.21,0.37,0.33,"Very likely increasing"
"Whangaparāoa (Auckland)","Spring",0.06,-0.03,0.01,0.14,0.11,"Likely increasing"
"Whangaparāoa (Auckland)","Winter",0.14,0.06,0.1,0.22,0.18,"Very likely increasing"
"Whangaparāoa (Auckland)","Summer",0.3,0.19,0.24,0.4,0.35,"Very likely increasing"
"Whangārei (Northland)","Autumn",0.21,0.11,0.15,0.31,0.27,"Very likely increasing"
"Whangārei (Northland)","Spring",0.23,0.14,0.18,0.32,0.28,"Very likely increasing"
"Whangārei (Northland)","Winter",0.28,0.2,0.24,0.37,0.33,"Very likely increasing"
"Whangārei (Northland)","Summer",0.25,0.15,0.19,0.36,0.31,"Very likely increasing"
