"date","LID","Name","LST","year"
2012-07-03,"44694","Lake Waipori",3.17237699813546,2012
2019-04-18,"48217","Lake Evelyn",10.3033887525868,2019
2020-07-16,"26036","Lake Poteriteri",7.81191131369235,2020
2021-08-20,"52532","0",3.53159018719657,2021
2021-05-25,"45692","Lake Mueller",9.37435708071763,2021
2021-08-20,"52652","0",4.80081665407755,2021
2012-07-03,"43668","The Reservoir",2.46423962141819,2012
2020-09-11,"38974","Lake Brunner / Moana",8.85599883559871,2020
2020-09-11,"47198","Lake Mcgregor",6.99952398264998,2020
2013-06-04,"7689","Conroys Dam",4.6336000001765,2013
2014-05-31,"38974","Lake Brunner / Moana",9.70019161625243,2014
2021-08-20,"28624","Lake Hakapoua",6.3442992553608,2021
2014-07-16,"54144","Lake Sylvan",3.91523909218762,2014
2019-09-18,"25212","Lake Guyon",6.55000183767169,2019
2021-08-20,"28722","0",3.70575297819755,2021
2020-07-16,"52258","0",1.84627313821733,2020
2021-08-20,"54141","Lake Reid",4.02422875626445,2021
2020-07-16,"28708","Lake Monk",4.2988528021894,2020
2016-06-07,"4345","Lake Horowhenua",8.53672224751432,2016
2020-07-16,"28817","Lake Victor",4.6728934395145,2020
2012-07-03,"53532","Lake Wakatipu",8.71474153206304,2012
2011-04-28,"12307","Lake Waitaki",11.088243022171,2011
2020-07-16,"28998","0",0.187205355764377,2020
2013-09-17,"44405","0",6.49576839817161,2013
2021-08-20,"29043","0",4.0964457105473,2021
2014-05-31,"41306","Lake Camp",5.2782443602635,2014
2014-07-16,"52875","Lake Bernard",3.19208274789599,2014
2021-08-20,"53025","Lake Ronald",6.72006916293975,2021
2016-06-07,"32287","Purimu Lake",6.4995746985611,2016
2014-07-16,"52641","Lake Clark",3.99877608055488,2014
2021-08-20,"53851","Lake Gunn",6.59433862828291,2021
2001-07-05,"46212","Lake Douglas",3.14838226446687,2001
2007-12-06,"48217","Lake Evelyn",17.7878920369994,2007
2007-12-06,"48663","Lake Grasmere",16.5619538322486,2007
2011-04-28,"30812","Big Lagoon",7.78191904648565,2011
2014-07-16,"52902","0",3.4757808404417,2014
2016-07-02,"40050","Lake Waikaremoana",10.0145689687301,2016
2006-06-24,"52613","Lake Mcivor",2.52192591064568,2006
2007-12-06,"38665","Lady Lake",17.9336817303563,2007
2010-08-10,"14179","Lake Ngapouri",7.46192273437532,2010
2001-06-10,"53545","Lake Dispute",2.18365456043017,2001
2021-09-14,"45525","Lake Ruataniwha",6.9330542956381,2021
2020-07-16,"52194","0",1.30768684611235,2020
2011-07-26,"48663","Lake Grasmere",3.08713947832433,2011
2011-07-17,"47198","Lake Mcgregor",0.517039749723097,2011
2007-12-06,"47406","0",12.2974969031403,2007
2001-07-05,"45503","Wairepo Arm",3.45139893787791,2001
2014-07-16,"52924","Lake Brownlee",4.06809398884451,2014
2011-04-28,"45153","Lake Mahinerangi",10.2099199643828,2011
2016-06-07,"33309","Long Range Lake",8.96328940475405,2016
2019-09-18,"24937","Lake Henderson",1.04850648298134,2019
2021-05-25,"7408","Lake Aviemore",9.61438338256767,2021
2013-06-04,"7777","Poolburn Reservoir",1.9643873357528,2013
2007-12-06,"48374","0",11.4949396416707,2007
2013-06-04,"7660","Manorburn Reservoir",3.31903584952596,2013
2021-09-14,"11614","Falls Dam",5.97116162490096,2021
2001-06-10,"52422","0",1.36252409223255,2001
2020-07-16,"53338","South Mavora Lake",5.33081152077909,2020
2020-07-16,"51659","0",3.44955363956302,2020
2014-05-31,"48213","Lake Selfe",7.08381111322296,2014
2021-05-25,"47414","Ice Lake",1.9027804470453,2021
2017-08-04,"21367","Lake Rotoaira",5.81440156781974,2017
2008-05-05,"47860","Lake Emily",4.25440755838815,2008
2021-05-25,"47491","Lake Ianthe / Matahi",11.5296656089803,2021
2016-06-07,"33834","0",10.0008043940443,2016
2013-05-28,"48673","Lake Sarah",3.17365893114021,2013
2011-04-28,"38665","Lady Lake",11.101320966446,2011
2007-10-28,"47579","Lake Forsyth (Lake Wairewa)",12.2230805362605,2007
2019-04-18,"46564","Lake Pukaki",12.2348604636192,2019
2021-08-20,"29728","0",2.47952385695561,2021
2011-04-28,"8890","0",5.19459622041347,2011
2001-06-10,"53392","Lake Ned",0.22604188473008,2001
2016-08-06,"52576","Lake Mistletoe",2.00182433294418,2016
2017-08-02,"44405","0",3.12399351790509,2017
2016-07-02,"42093","Lake Repongaere",6.31162103321634,2016
2011-04-28,"7777","Poolburn Reservoir",7.17285683632218,2011
2015-07-12,"38664","Kangaroo Lake",5.84896131400649,2015
2011-04-28,"43668","The Reservoir",9.56531581927857,2011
2020-07-16,"52340","0",0.138108872411635,2020
2020-07-16,"52642","Lake Wade",0.0835362793763466,2020
2011-04-28,"7409","Lake Benmore",11.1567207993039,2011
2008-05-05,"53392","Lake Ned",0.845514336518079,2008
