"site","statistic","period_start","period_end","n","method","slope","conf_low_90","conf_high_90","conf_low_66","conf_high_66","unit","note","trend_likelihood","s","var_s","tau","alternative","lat","lon"
"Christchurch","Average max gust",1980,2022,43,"Sen's slope",-0.12708333333333321,-0.19027777777777763,-0.06458333333333358,-0.1623333333333332,-0.08684210526315782,"km/hr",NA,NA,NA,NA,NA,NA,-43.493,172.537
"Christchurch","Highest max gust",1980,2022,43,"Sen's slope",-0.2551724137931036,-0.40000000000000013,-0.08181818181818169,-0.33636363636363664,-0.171875,"km/hr",NA,NA,NA,NA,NA,NA,-43.493,172.537
"Gisborne","Average max gust",1980,2022,43,"Sen's slope",0.11398809523809561,0.06041666666666501,0.16291666666666665,0.08564814814814763,0.14357142857142874,"km/hr",NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gisborne","Highest max gust",1980,2022,43,"Sen's slope",0.1722222222222227,0,0.3285714285714287,0.08888888888888857,0.2666666666666657,"km/hr",NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Hamilton","Average max gust",1980,2022,43,"Sen's slope",-0.13392857142857142,-0.2,-0.07230392156862753,-0.17243589743589746,-0.09880952380952394,"km/hr",NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hamilton","Highest max gust",1980,2022,43,"Sen's slope",-0.19166666666666643,-0.3285714285714287,0,-0.2799999999999997,-0.09047619047618939,"km/hr",NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hokitika","Average max gust",1980,2022,43,"Sen's slope",-0.06327160493827143,-0.1168803418803418,-0.009217171717171731,-0.09655797101449268,-0.035171568627450966,"km/hr",NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Hokitika","Highest max gust",1980,2022,43,"Sen's slope",-0.1357142857142851,-0.3454545454545452,0,-0.25,-0.020000000000000757,"km/hr",NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Invercargill","Average max gust",1980,2022,43,"Sen's slope",-0.14895833333333286,-0.21458333333333357,-0.09120370370370365,-0.1908602150537636,-0.11566091954023004,"km/hr",NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Invercargill","Highest max gust",1980,2022,43,"Sen's slope",-0.20833333333333334,-0.4111111111111114,0,-0.32631578947368434,-0.09629629629629662,"km/hr",NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Napier","Average max gust",1980,2022,43,"Sen's slope",-0.09916666666666671,-0.15172413793103443,-0.03837719298245639,-0.12559523809523757,-0.06110660173160173,"km/hr",NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Napier","Highest max gust",1980,2022,43,"Sen's slope",-0.06551724137931055,-0.2846153846153848,0.12857142857142836,-0.21153846153846154,0,"km/hr",NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Nelson","Average max gust",1980,2022,43,"Sen's slope",-0.0747067448680351,-0.1331439393939394,-0.01956018518518516,-0.11161987522281624,-0.046958874458873874,"km/hr",NA,NA,NA,NA,NA,NA,-41.299,173.226
