"site","statistic","period_start","period_end","n","method","slope","conf_low_90","conf_high_90","conf_low_66","conf_high_66","unit","note","trend_likelihood","s","var_s","tau","alternative","lat","lon"
"Nelson","Highest max gust",1980,2022,43,"Sen's slope",0,-0.16756756756756763,0.14333333333333323,-0.09310344827586217,0.07916666666666632,"km/hr",NA,NA,NA,NA,NA,NA,-41.299,173.226
"New Plymouth","Average max gust",1980,2022,43,"Sen's slope",0.10249999999999773,0.07002688172043013,0.14333333333333442,0.08366666666666703,0.12448863636363618,"km/hr",NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"New Plymouth","Highest max gust",1980,2022,43,"Sen's slope",0.18999999999999914,-0.04999999999999982,0.4258064516129033,0.019230769230769232,0.3083333333333324,"km/hr",NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"Queenstown","Average max gust",1980,2022,43,"Sen's slope",0.12083333333333325,0.08010141739980453,0.1697303921568628,0.09545454545454549,0.14374999999999982,"km/hr",NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Queenstown","Highest max gust",1980,2022,43,"Sen's slope",0.18387096774193556,0,0.38333333333333347,0.08125000000000027,0.29705882352941204,"km/hr",NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Rotorua","Average max gust",1980,2022,43,"Sen's slope",-0.05416666666666643,-0.10347222222222206,-0.0029761904761908147,-0.078819444444445,-0.025490196078431386,"km/hr",NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Rotorua","Highest max gust",1980,2022,43,"Sen's slope",0,-0.224242424242424,0.11875000000000036,-0.14736842105263143,0.05135135135135151,"km/hr",NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Tauranga","Average max gust",1980,2022,43,"Sen's slope",-0.09067460317460327,-0.14541666666666658,-0.04411764705882353,-0.12270833333333328,-0.06822916666666679,"km/hr",NA,NA,NA,NA,NA,NA,-37.673,176.196
"Tauranga","Highest max gust",1980,2022,43,"Sen's slope",-0.09473684210526301,-0.3099999999999999,0.0903225806451612,-0.22058823529411764,0,"km/hr",NA,NA,NA,NA,NA,NA,-37.673,176.196
"Timaru","Average max gust",1980,2022,43,"Sen's slope",-0.19596354166666674,-0.2685416666666665,-0.12435897435897439,-0.23611111111111072,-0.15372807017543866,"km/hr",NA,NA,NA,NA,NA,NA,-44.30517,171.22141
"Timaru","Highest max gust",1980,2022,43,"Sen's slope",-0.31111111111111156,-0.5549999999999997,-0.09736842105263166,-0.46249999999999947,-0.17272727272727195,"km/hr",NA,NA,NA,NA,NA,NA,-44.30517,171.22141
"Wellington","Average max gust",1980,2022,43,"Sen's slope",-0.16060606060606053,-0.23541666666666713,-0.08562500000000028,-0.1962962962962962,-0.11936274509803933,"km/hr",NA,NA,NA,NA,NA,NA,-41.285,174.768
"Wellington","Highest max gust",1980,2022,43,"Sen's slope",-0.3317073170731709,-0.503703703703704,-0.1583333333333338,-0.43703703703703745,-0.22500000000000142,"km/hr",NA,NA,NA,NA,NA,NA,-41.285,174.768
"Whangarei","Average max gust",1980,2022,43,"Sen's slope",-0.1792140151515147,-0.22812499999999963,-0.12902298850574714,-0.20601851851851866,-0.15083333333333315,"km/hr",NA,NA,NA,NA,NA,NA,-35.769,174.364
"Whangarei","Highest max gust",1980,2022,43,"Sen's slope",-0.3409090909090909,-0.555,-0.1423076923076924,-0.46250000000000036,-0.22499999999999964,"km/hr",NA,NA,NA,NA,NA,NA,-35.769,174.364
"Dunedin","Average max gust",1982,2022,42,"Sen's slope",-0.45482456140350874,-0.5321401515151514,-0.3919999999999999,-0.49908645276292335,-0.4157258064516128,"km/hr",NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Dunedin","Highest max gust",1982,2022,42,"Sen's slope",-0.536842105263158,-0.7058823529411765,-0.35769230769230814,-0.6423076923076925,-0.42272727272727323,"km/hr",NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Taupo","Average max gust",1982,2022,41,"Sen's slope",-0.06163194444444435,-0.13680555555555549,0.021428571428571564,-0.10375000000000015,-0.007291666666666252,"km/hr",NA,NA,NA,NA,NA,NA,-38.74263,176.08104
"Taupo","Highest max gust",1982,2022,41,"Sen's slope",-0.09486842105263164,-0.33939393939393947,0.06785714285714306,-0.2333333333333331,0,"km/hr",NA,NA,NA,NA,NA,NA,-38.74263,176.08104
"Gore","Average max gust",1987,2022,37,"Sen's slope",-0.10719444444444456,-0.2469298245614033,0.003125000000000203,-0.1842261904761904,-0.053571428571427555,"km/hr",NA,NA,NA,NA,NA,NA,-46.115,168.887
"Gore","Highest max gust",1987,2022,37,"Sen's slope",-0.09647556390977435,-0.35999999999999943,0.1000000000000003,-0.25,0,"km/hr",NA,NA,NA,NA,NA,NA,-46.115,168.887
"Christchurch","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-307,9130.333333333334,-0.33997785160575855,"greater",-43.493,172.537
"Christchurch","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-221,9065,-0.25092955510781284,"greater",-43.493,172.537
"Gisborne","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely increasing",295,9130.333333333334,0.326688815060908,"greater",-38.6586,177.9851
"Gisborne","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely increasing",167,9098.333333333334,0.18766046983412174,"greater",-38.6586,177.9851
"Hamilton","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-315,9130.333333333334,-0.34883720930232553,"greater",-37.86088,175.33175
"Hamilton","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-192,9038,-0.21941152068148176,"greater",-37.86088,175.33175
"Hokitika","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-185,9130.333333333334,-0.2048726467331118,"greater",-42.71228,170.98428
"Hokitika","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-132,9092.666666666666,-0.1485847848446334,"greater",-42.71228,170.98428
"Invercargill","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-331,9130.333333333334,-0.36655592469545956,"greater",-46.41741,168.33052
"Invercargill","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-188,9077.333333333334,-0.212350902704771,"greater",-46.41741,168.33052
"Napier","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-249,9130.333333333334,-0.2757475083056478,"greater",-39.49846,176.91189
"Napier","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Likely decreasing",-62,9069.333333333334,-0.07035558665442913,"greater",-39.49846,176.91189
"Nelson","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-223,9130.333333333334,-0.24695459579180506,"greater",-41.299,173.226
"Nelson","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Indeterminate",-7,9099.666666666666,-0.007857053807219867,"greater",-41.299,173.226
"New Plymouth","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely increasing",364,9129.333333333334,0.4033241616200294,"greater",-39.0079,174.18382
"New Plymouth","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Likely increasing",119,9107,0.1332670347077297,"greater",-39.0079,174.18382
"Queenstown","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely increasing",359,9130.333333333334,0.39756367663344405,"greater",-45.01758,168.74005
"Queenstown","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely increasing",165,9086.333333333334,0.1860505642821971,"greater",-45.01758,168.74005
"Rotorua","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-167,9129.333333333334,-0.18504157964435414,"greater",-38.10595,176.31485
"Rotorua","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Indeterminate",-26,9024,-0.02981765098735471,"greater",-38.10595,176.31485
"Tauranga","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-257,9130.333333333334,-0.2846068660022148,"greater",-37.673,176.196
"Tauranga","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Likely decreasing",-82,9058.666666666666,-0.09326809252938945,"greater",-37.673,176.196
"Timaru","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-417,9130.333333333334,-0.46179401993355473,"greater",-44.30517,171.22141
"Timaru","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-222,9070,-0.2519183909239237,"greater",-44.30517,171.22141
"Wellington","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-307,9130.333333333334,-0.33997785160575855,"greater",-41.285,174.768
"Wellington","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-296,9101.333333333334,-0.3320523053895989,"greater",-41.285,174.768
"Whangarei","Average max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-455,9130.333333333334,-0.503875968992248,"greater",-35.769,174.364
"Whangarei","Highest max gust",1980,2022,43,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-250,9087.333333333334,-0.28205675634204375,"greater",-35.769,174.364
"Dunedin","Average max gust",1982,2022,42,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-532,8513.333333333334,-0.6182453106438467,"greater",-45.90129,170.5147
"Dunedin","Highest max gust",1982,2022,42,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-381,8462.333333333334,-0.4526093093341171,"greater",-45.90129,170.5147
"Taupo","Average max gust",1982,2022,41,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Likely decreasing",-92,7926.666666666667,-0.11219512195121951,"greater",-38.74263,176.08104
"Taupo","Highest max gust",1982,2022,41,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Likely decreasing",-83,7849.666666666667,-0.1041166808995662,"greater",-38.74263,176.08104
"Gore","Average max gust",1987,2022,37,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Very likely decreasing",-124,5846,-0.18618618618618618,"greater",-46.115,168.887
"Gore","Highest max gust",1987,2022,37,"Mann-Kendall",NA,NA,NA,NA,NA,"km/hr",NA,"Likely decreasing",-70,5772.666666666667,-0.1085846986947829,"greater",-46.115,168.887
