"site","period_start","period_end","p_value","slope","conf_low","conf_high","conf_level","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon"
"Whanganui (Manawatū-Whanganui)","1972-01-01","2022-12-31",0.05124060139953602,0.1850229511867443,0.09741379310344822,0.26728999222193406,0.66,1.9494592777256947,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.93704,175.04509
"Whangaparāoa (Auckland)","1972-01-01","2022-12-31",4.1007823120967795e-4,0.4278166216430954,0.3062996031746032,0.5450505924643856,0.66,3.5335115116116604,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-36.606,174.835
"Whangārei (Northland)","1972-01-01","2022-12-31",0.22618321641500608,0.16716269841269848,0.023678907299596895,0.3031128812493449,0.66,1.2102493767134637,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-35.769,174.364
"Auckland (Auckland)","1972-01-01","2022-12-31",9.034275944524027e-5,0.5063165421897347,0.30848287590898427,0.6770833333333339,0.9,3.915164049432437,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.00813,174.78873
"Blenheim (Marlborough)","1972-01-01","2022-12-31",0.03135020981436978,0.24228243021346477,0.08066502463054194,0.4166666666666667,0.9,2.152598966843885,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.52133,173.86439
"Christchurch (Canterbury)","1972-01-01","2022-12-31",0.17748027565409188,0.11675824175824172,-0.01744663382594385,0.2669428272876549,0.9,1.348553964704057,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-43.493,172.537
"Dannevirke (Manawatū-Whanganui)","1972-01-01","2022-12-31",0.005600232399722187,0.2604166666666667,0.12332589285714257,0.4069581280788177,0.9,2.770313717913036,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.21,176.109
"Dunedin (Otago)","1972-01-01","2022-12-31",0.660769951779913,-0.0017857142857144125,-0.0868506493506493,0.05429536679536679,0.9,-0.4388503813626145,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.90129,170.5147
"Gisborne (Gisborne)","1972-01-01","2022-12-31",0.1437153271409672,0.16632457580733412,-0.008928571428572951,0.37084717607973433,0.9,1.4620944582942712,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.6586,177.9851
"Gore (Southland)","1972-01-01","2022-12-31",0.13287593997745736,0.07157067070860176,-7.142857142857295e-4,0.17699579831932777,0.9,1.502856936146464,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.115,168.887
"Hamilton (Waikato)","1972-01-01","2022-12-31",0.002197352422096171,0.4916871921182265,0.21791187739463602,0.7023809523809538,0.9,3.0621745974562136,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.86088,175.33175
"Hokitika (West Coast)","1972-01-01","2022-12-31",0.7410770452321342,0,0,0,0.9,0.3304273942439779,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.71228,170.98428
"Invercargill (Southland)","1972-01-01","2022-12-31",0.0802595837881759,0.06955049261083743,0,0.12071428571428569,0.9,1.7491818882732497,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.41741,168.33052
"Kerikeri (Northland)","1972-01-01","2022-12-31",0.027712171358348362,0.3767788724685276,0.12077517788724694,0.6355519480519483,0.9,2.2013370566592183,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-35.183,173.926
"Lake Tekapo (Canterbury)","1972-01-01","2022-12-31",0.01890512764728259,0.21924603174603183,0.0683497536945813,0.36853448275862066,0.9,2.3473964420818185,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.002,170.441
"Masterton (Wellington)","1972-01-01","2022-12-31",0.001535594690051268,0.5613839285714284,0.27865448504983364,0.8062499999999997,0.9,3.167871326304254,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.957,175.707
"Milford Sound (Southland)","1972-01-01","2022-12-31",0.331395316407728,-0.0023510971786833853,-0.06340165376495424,2.9761904761904656e-4,0.9,-0.9713072161754679,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.67384,167.92406
"Napier (Hawke's Bay)","1972-01-01","2022-12-31",0.006667761064572171,0.30022321428571425,0.10178571428571435,0.4966517857142856,0.9,2.712997494834925,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.49846,176.91189
"Nelson (Nelson)","1972-01-01","2022-12-31",0.005330067821105051,0.14349489795918366,0.0690476190476191,0.23303571428571435,0.9,2.7863779951256062,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.299,173.226
"New Plymouth (Taranaki)","1972-01-01","2022-12-31",0.010485446367979174,0.09763824884792624,0.03363095238095237,0.16666666666666666,0.9,2.559395205937323,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.0079,174.18382
"Queenstown (Otago)","1972-01-01","2022-12-31",5.9909593831407026e-5,0.3070436507936509,0.19265109890109888,0.4118138634764253,0.9,4.0131666178542424,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.01758,168.74005
"Reefton (West Coast)","1972-01-01","2022-12-31",4.0937731788142044e-5,0.4760338345864661,0.3,0.6567704668074127,0.9,4.102122559457215,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.11578,171.86014
"Rotorua (Bay of Plenty)","1972-01-01","2022-12-31",0.13292709803850725,0.12107142857142854,-0.008928571428571175,0.2747564935064935,0.9,1.5026586220938978,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.10595,176.31485
"Tara Hills (Canterbury)","1972-01-01","2022-12-31",0.005336117446050529,0.3083607006020799,0.10714285714285707,0.4910714285714306,0.9,2.78601031015247,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.52612,169.88948
"Taumarunui (Manawatū-Whanganui)","1972-01-01","2022-12-31",0.29098781096546833,-0.18505680915302722,-0.4983766233766234,0.12208454810495635,0.9,-1.0559571087680848,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.88784,175.25981
"Taupō (Waikato)","1972-01-01","2022-12-31",0.5157440130131649,0.06711822660098528,-0.125,0.2314560439560438,0.9,0.6499198227798869,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.74263,176.08104
"Tauranga (Bay of Plenty)","1972-01-01","2022-12-31",6.656683244381174e-7,0.5105706075533641,0.3603316326530611,0.6466836734693879,0.9,4.971121158200522,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.673,176.196
"Timaru (Canterbury)","1972-01-01","2022-12-31",0.7268545700883685,0.00592364532019701,-0.0733418367346937,0.1556919642857143,0.9,0.34931269326647546,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.30517,171.22141
"Waiouru (Manawatū-Whanganui)","1972-01-01","2022-12-31",2.1112456177770913e-4,0.0630580357142857,0.030032467532467532,0.10809948979591835,0.9,3.7053193471543904,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.46249,175.66283
"Wellington (Wellington)","1972-01-01","2022-12-31",0.5937177289569051,0,-8.116883116883088e-4,0.06087662337662337,0.9,0.5334563359132584,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.285,174.768
