site,statistic,season,year,prop_missing,temperature,period_start,period_end,lat,lon,anomaly,reference_period
Hamilton (Waikato),Maximum,Spring,2022,0,18.8,1/09/2022,30/11/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Maximum,Summer,2022,0,26.133333333333333,1/12/2021,28/02/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Maximum,Winter,2022,0,15.5,1/06/2022,31/08/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Minimum,Autumn,2022,0,9.1,1/03/2022,31/05/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Minimum,Spring,2022,0,8.933333333333334,1/09/2022,30/11/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Minimum,Summer,2022,0,13.766666666666667,1/12/2021,28/02/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Minimum,Winter,2022,0,6.133333333333334,1/06/2022,31/08/2022,-37.86088,175.33175,NA,1961-1990
Hokitika (West Coast),Average,Autumn,2022,0,14.7,1/03/2022,31/05/2022,-42.71228,170.98428,2.2481481481481467,1961-1990
Hokitika (West Coast),Average,Spring,2022,0,12.133333333333333,1/09/2022,30/11/2022,-42.71228,170.98428,0.9419753086419753,1961-1990
Hokitika (West Coast),Average,Summer,2022,0,16.966666666666665,1/12/2021,28/02/2022,-42.71228,170.98428,1.7217948717948701,1961-1990
Hokitika (West Coast),Average,Winter,2022,0,9.333333333333334,1/06/2022,31/08/2022,-42.71228,170.98428,1.4950617283950622,1961-1990
Hokitika (West Coast),Maximum,Autumn,2022,0,19.266666666666666,1/03/2022,31/05/2022,-42.71228,170.98428,2.7135802469135797,1961-1990
Hokitika (West Coast),Maximum,Spring,2022,0,16.333333333333332,1/09/2022,30/11/2022,-42.71228,170.98428,1.179012345679011,1961-1990
Hokitika (West Coast),Maximum,Summer,2022,0,20.933333333333334,1/12/2021,28/02/2022,-42.71228,170.98428,1.7666666666666657,1961-1990
Hokitika (West Coast),Maximum,Winter,2022,0,13.299999999999999,1/06/2022,31/08/2022,-42.71228,170.98428,1.0197530864197528,1961-1990
Hokitika (West Coast),Minimum,Autumn,2022,0,10.133333333333333,1/03/2022,31/05/2022,-42.71228,170.98428,1.7802469135802461,1961-1990
Hokitika (West Coast),Minimum,Spring,2022,0,7.933333333333334,1/09/2022,30/11/2022,-42.71228,170.98428,0.6901234567901238,1961-1990
Hokitika (West Coast),Minimum,Summer,2022,0,13,1/12/2021,28/02/2022,-42.71228,170.98428,1.6705128205128208,1961-1990
Hokitika (West Coast),Minimum,Winter,2022,0,5.366666666666667,1/06/2022,31/08/2022,-42.71228,170.98428,1.9604938271604944,1961-1990
Invercargill (Southland),Average,Autumn,2022,0,12.166666666666666,1/03/2022,31/05/2022,-46.41741,168.33052,1.9588888888888878,1961-1990
Invercargill (Southland),Average,Spring,2022,0,10.5,1/09/2022,30/11/2022,-46.41741,168.33052,0.6233333333333331,1961-1990
Invercargill (Southland),Average,Summer,2022,0,14.466666666666667,1/12/2021,28/02/2022,-46.41741,168.33052,0.8966666666666665,1961-1990
Invercargill (Southland),Average,Winter,2022,0,6.533333333333333,1/06/2022,31/08/2022,-46.41741,168.33052,0.8099999999999996,1961-1990
Invercargill (Southland),Maximum,Autumn,2022,0,16.900000000000002,1/03/2022,31/05/2022,-46.41741,168.33052,2.167777777777779,1961-1990
Invercargill (Southland),Maximum,Spring,2022,0,15.366666666666667,1/09/2022,30/11/2022,-46.41741,168.33052,0.9055555555555568,1961-1990
Invercargill (Southland),Maximum,Summer,2022,0,19.4,1/12/2021,28/02/2022,-46.41741,168.33052,1.1588888888888889,1961-1990
Invercargill (Southland),Maximum,Winter,2022,0,10.933333333333334,1/06/2022,31/08/2022,-46.41741,168.33052,0.8322222222222226,1961-1990
Invercargill (Southland),Minimum,Autumn,2022,0,7.433333333333333,1/03/2022,31/05/2022,-46.41741,168.33052,1.7477777777777774,1961-1990
Invercargill (Southland),Minimum,Spring,2022,0,5.699999999999999,1/09/2022,30/11/2022,-46.41741,168.33052,0.39444444444444393,1961-1990
Invercargill (Southland),Minimum,Summer,2022,0,9.566666666666666,1/12/2021,28/02/2022,-46.41741,168.33052,0.6722222222222225,1961-1990
Invercargill (Southland),Minimum,Winter,2022,0,2.0666666666666664,1/06/2022,31/08/2022,-46.41741,168.33052,0.7166666666666663,1961-1990
Kerikeri (Northland),Average,Autumn,2022,0,17.666666666666668,1/03/2022,31/05/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Average,Spring,2022,0,15.366666666666667,1/09/2022,30/11/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Average,Summer,2022,0,20.566666666666666,1/12/2021,28/02/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Average,Winter,2022,0,13.266666666666667,1/06/2022,31/08/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Maximum,Autumn,2022,0,22.166666666666668,1/03/2022,31/05/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Maximum,Spring,2022,0,19.866666666666667,1/09/2022,30/11/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Maximum,Summer,2022,0,24.9,1/12/2021,28/02/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Maximum,Winter,2022,0,17.433333333333334,1/06/2022,31/08/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Minimum,Autumn,2022,0,13.166666666666666,1/03/2022,31/05/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Minimum,Spring,2022,0,10.9,1/09/2022,30/11/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Minimum,Summer,2022,0,16.233333333333334,1/12/2021,28/02/2022,-35.183,173.926,NA,1961-1990
Kerikeri (Northland),Minimum,Winter,2022,0,9.1,1/06/2022,31/08/2022,-35.183,173.926,NA,1961-1990
Lake Tekapo (Canterbury),Average,Autumn,2022,0,10.5,1/03/2022,31/05/2022,-44.002,170.441,0.8300000000000001,1961-1990
Lake Tekapo (Canterbury),Average,Spring,2022,0,9,1/09/2022,30/11/2022,-44.002,170.441,-0.225287356,1961-1990
Lake Tekapo (Canterbury),Average,Summer,2022,0,14.8,1/12/2021,28/02/2022,-44.002,170.441,0.078571429,1961-1990
Lake Tekapo (Canterbury),Average,Winter,2022,0,3.2666666666666666,1/06/2022,31/08/2022,-44.002,170.441,0.5188888888888887,1961-1990
Lake Tekapo (Canterbury),Maximum,Autumn,2022,0,16.766666666666666,1/03/2022,31/05/2022,-44.002,170.441,1.7188888888888876,1961-1990
Lake Tekapo (Canterbury),Maximum,Spring,2022,0,14.866666666666667,1/09/2022,30/11/2022,-44.002,170.441,0.13218390804597746,1961-1990
Lake Tekapo (Canterbury),Maximum,Summer,2022,0,21.1,1/12/2021,28/02/2022,-44.002,170.441,0.23214285714285765,1961-1990
Lake Tekapo (Canterbury),Maximum,Winter,2022,0,7.733333333333333,1/06/2022,31/08/2022,-44.002,170.441,0.5488888888888894,1961-1990
Lake Tekapo (Canterbury),Minimum,Autumn,2022,0,4.3,1/03/2022,31/05/2022,-44.002,170.441,-0.005555556,1961-1990
Lake Tekapo (Canterbury),Minimum,Spring,2022,0,3.2,1/09/2022,30/11/2022,-44.002,170.441,-0.498888889,1961-1990
Lake Tekapo (Canterbury),Minimum,Summer,2022,0,8.533333333333333,1/12/2021,28/02/2022,-44.002,170.441,-0.083333333,1961-1990
Lake Tekapo (Canterbury),Minimum,Winter,2022,0,-1.233333333,1/06/2022,31/08/2022,-44.002,170.441,0.4522222222222221,1961-1990
Masterton (Wellington),Average,Autumn,2022,0,13.5,1/03/2022,31/05/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Average,Spring,2022,0,12.4,1/09/2022,30/11/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Average,Summer,2022,0,17.633333333333333,1/12/2021,28/02/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Average,Winter,2022,0,9.4,1/06/2022,31/08/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Maximum,Autumn,2022,0,19.2,1/03/2022,31/05/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Maximum,Spring,2022,0,17.6,1/09/2022,30/11/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Maximum,Summer,2022,0,23.2,1/12/2021,28/02/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Maximum,Winter,2022,0,14.2,1/06/2022,31/08/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Minimum,Autumn,2022,0,7.733333333333333,1/03/2022,31/05/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Minimum,Spring,2022,0,7.2,1/09/2022,30/11/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Minimum,Summer,2022,0,12.133333333333333,1/12/2021,28/02/2022,-40.957,175.707,NA,1961-1990
Masterton (Wellington),Minimum,Winter,2022,0,4.633333333333333,1/06/2022,31/08/2022,-40.957,175.707,NA,1961-1990
Milford Sound (Southland),Average,Autumn,2022,0,12.899999999999999,1/03/2022,31/05/2022,-44.67384,167.92406,1.6691358024691336,1961-1990
Milford Sound (Southland),Average,Spring,2022,0,10.933333333333334,1/09/2022,30/11/2022,-44.67384,167.92406,0.7382716049382712,1961-1990
Milford Sound (Southland),Average,Summer,2022,0,16.166666666666668,1/12/2021,28/02/2022,-44.67384,167.92406,1.5310344827586224,1961-1990
Milford Sound (Southland),Average,Winter,2022,0,7.333333333333334,1/06/2022,31/08/2022,-44.67384,167.92406,1.543333333333334,1961-1990
Milford Sound (Southland),Maximum,Autumn,2022,0,17.53333333333333,1/03/2022,31/05/2022,-44.67384,167.92406,1.909876543209874,1961-1990
Milford Sound (Southland),Maximum,Spring,2022,0,15.333333333333332,1/09/2022,30/11/2022,-44.67384,167.92406,0.7617283950617271,1961-1990
Milford Sound (Southland),Maximum,Summer,2022,0,20.866666666666667,1/12/2021,28/02/2022,-44.67384,167.92406,1.7448275862068954,1961-1990
Milford Sound (Southland),Maximum,Winter,2022,0,11.266666666666667,1/06/2022,31/08/2022,-44.67384,167.92406,1.5566666666666666,1961-1990
Milford Sound (Southland),Minimum,Autumn,2022,0,8.233333333333334,1/03/2022,31/05/2022,-44.67384,167.92406,1.3933333333333344,1961-1990
Milford Sound (Southland),Minimum,Spring,2022,0,6.533333333333333,1/09/2022,30/11/2022,-44.67384,167.92406,0.7522222222222226,1961-1990
Milford Sound (Southland),Minimum,Summer,2022,0,11.466666666666667,1/12/2021,28/02/2022,-44.67384,167.92406,1.2844444444444445,1961-1990
Milford Sound (Southland),Minimum,Winter,2022,0,3.4,1/06/2022,31/08/2022,-44.67384,167.92406,1.5399999999999998,1961-1990
Napier (Hawke's Bay),Average,Autumn,2022,0,15.1,1/03/2022,31/05/2022,-39.49846,176.91189,0.22888888888888914,1961-1990
Napier (Hawke's Bay),Average,Spring,2022,0,15.133333333333335,1/09/2022,30/11/2022,-39.49846,176.91189,1.0866666666666678,1961-1990
Napier (Hawke's Bay),Average,Summer,2022,0,20.033333333333335,1/12/2021,28/02/2022,-39.49846,176.91189,1.178888888888892,1961-1990
Napier (Hawke's Bay),Average,Winter,2022,0,11.4,1/06/2022,31/08/2022,-39.49846,176.91189,1.9366666666666674,1961-1990
Napier (Hawke's Bay),Maximum,Autumn,2022,0,19.933333333333334,1/03/2022,31/05/2022,-39.49846,176.91189,0.093333333,1961-1990
Napier (Hawke's Bay),Maximum,Spring,2022,0,19.6,1/09/2022,30/11/2022,-39.49846,176.91189,0.6244444444444461,1961-1990
Napier (Hawke's Bay),Maximum,Summer,2022,0,24.566666666666666,1/12/2021,28/02/2022,-39.49846,176.91189,0.8599999999999994,1961-1990
Napier (Hawke's Bay),Maximum,Winter,2022,0,15.833333333333334,1/06/2022,31/08/2022,-39.49846,176.91189,1.6355555555555554,1961-1990
Napier (Hawke's Bay),Minimum,Autumn,2022,0,10.233333333333334,1/03/2022,31/05/2022,-39.49846,176.91189,0.33000000000000007,1961-1990
Napier (Hawke's Bay),Minimum,Spring,2022,0,10.733333333333334,1/09/2022,30/11/2022,-39.49846,176.91189,1.6100000000000012,1961-1990
Napier (Hawke's Bay),Minimum,Summer,2022,0,15.533333333333333,1/12/2021,28/02/2022,-39.49846,176.91189,1.532222222222222,1961-1990
Napier (Hawke's Bay),Minimum,Winter,2022,0,6.966666666666667,1/06/2022,31/08/2022,-39.49846,176.91189,2.2444444444444445,1961-1990
Nelson (Nelson),Average,Autumn,2022,0,14.966666666666667,1/03/2022,31/05/2022,-41.299,173.226,1.8133333333333326,1961-1990
Nelson (Nelson),Average,Spring,2022,0,13.266666666666667,1/09/2022,30/11/2022,-41.299,173.226,0.9700000000000006,1961-1990
Nelson (Nelson),Average,Summer,2022,0,18.733333333333334,1/12/2021,28/02/2022,-41.299,173.226,1.6355555555555554,1961-1990
Nelson (Nelson),Average,Winter,2022,0,9.666666666666668,1/06/2022,31/08/2022,-41.299,173.226,1.996666666666668,1961-1990
Nelson (Nelson),Maximum,Autumn,2022,0,19.3,1/03/2022,31/05/2022,-41.299,173.226,1.4922222222222246,1961-1990
Nelson (Nelson),Maximum,Spring,2022,0,17.2,1/09/2022,30/11/2022,-41.299,173.226,0.5999999999999979,1961-1990
Nelson (Nelson),Maximum,Summer,2022,0,22.233333333333334,1/12/2021,28/02/2022,-41.299,173.226,0.6766666666666659,1961-1990
Nelson (Nelson),Maximum,Winter,2022,0,13.733333333333334,1/06/2022,31/08/2022,-41.299,173.226,1.2022222222222236,1961-1990
Nelson (Nelson),Minimum,Autumn,2022,0,10.6,1/03/2022,31/05/2022,-41.299,173.226,2.1066666666666656,1961-1990
Nelson (Nelson),Minimum,Spring,2022,0,9.266666666666667,1/09/2022,30/11/2022,-41.299,173.226,1.290000000000001,1961-1990
Nelson (Nelson),Minimum,Summer,2022,0,15.166666666666668,1/12/2021,28/02/2022,-41.299,173.226,2.5266666666666673,1961-1990
Nelson (Nelson),Minimum,Winter,2022,0,5.466666666666667,1/06/2022,31/08/2022,-41.299,173.226,2.6533333333333333,1961-1990
New Plymouth (Taranaki),Average,Autumn,2022,0,15.899999999999999,1/03/2022,31/05/2022,-39.0079,174.18382,1.4833333333333325,1961-1990
New Plymouth (Taranaki),Average,Spring,2022,0,13.8,1/09/2022,30/11/2022,-39.0079,174.18382,1.0777777777777793,1961-1990
New Plymouth (Taranaki),Average,Summer,2022,0,19.233333333333334,1/12/2021,28/02/2022,-39.0079,174.18382,2.2444444444444436,1961-1990
New Plymouth (Taranaki),Average,Winter,2022,0,11.666666666666666,1/06/2022,31/08/2022,-39.0079,174.18382,1.7833333333333332,1961-1990
New Plymouth (Taranaki),Maximum,Autumn,2022,0,20.433333333333334,1/03/2022,31/05/2022,-39.0079,174.18382,2.0755555555555567,1961-1990
New Plymouth (Taranaki),Maximum,Spring,2022,0,17.4,1/09/2022,30/11/2022,-39.0079,174.18382,1.198888888888888,1961-1990
New Plymouth (Taranaki),Maximum,Summer,2022,0,23.466666666666665,1/12/2021,28/02/2022,-39.0079,174.18382,2.3555555555555543,1961-1990
New Plymouth (Taranaki),Maximum,Winter,2022,0,15.066666666666666,1/06/2022,31/08/2022,-39.0079,174.18382,1.67,1961-1990
New Plymouth (Taranaki),Minimum,Autumn,2022,0,11.366666666666667,1/03/2022,31/05/2022,-39.0079,174.18382,0.8833333333333329,1961-1990
