site,statistic,season,year,prop_missing,temperature,period_start,period_end,lat,lon,anomaly,reference_period
Auckland (Auckland),Average,Autumn,2022,0,17.8,1/03/2022,31/05/2022,-37.00813,174.78873,1.641333333333332,1961-1990
Auckland (Auckland),Average,Spring,2022,0,15.533333333333333,1/09/2022,30/11/2022,-37.00813,174.78873,1.1240000000000006,1961-1990
Auckland (Auckland),Average,Summer,2022,0,21.6,1/12/2021,28/02/2022,-37.00813,174.78873,2.5277777777777786,1961-1990
Auckland (Auckland),Average,Winter,2022,0,13.066666666666666,1/06/2022,31/08/2022,-37.00813,174.78873,1.9879999999999995,1961-1990
Auckland (Auckland),Maximum,Autumn,2022,0,21.966666666666665,1/03/2022,31/05/2022,-37.00813,174.78873,2.1759999999999984,1961-1990
Auckland (Auckland),Maximum,Spring,2022,0,19.23333333333333,1/09/2022,30/11/2022,-37.00813,174.78873,1.530666666666665,1961-1990
Auckland (Auckland),Maximum,Summer,2022,0,25.633333333333333,1/12/2021,28/02/2022,-37.00813,174.78873,2.8777777777777764,1961-1990
Auckland (Auckland),Maximum,Winter,2022,0,16.333333333333332,1/06/2022,31/08/2022,-37.00813,174.78873,1.7973333333333326,1961-1990
Auckland (Auckland),Minimum,Autumn,2022,0,13.566666666666666,1/03/2022,31/05/2022,-37.00813,174.78873,1.0373333333333328,1961-1990
Auckland (Auckland),Minimum,Spring,2022,0,11.799999999999999,1/09/2022,30/11/2022,-37.00813,174.78873,0.6919999999999984,1961-1990
Auckland (Auckland),Minimum,Summer,2022,0,17.566666666666666,1/12/2021,28/02/2022,-37.00813,174.78873,2.1708333333333325,1961-1990
Auckland (Auckland),Minimum,Winter,2022,0,9.8,1/06/2022,31/08/2022,-37.00813,174.78873,2.181333333333334,1961-1990
Blenheim (Marlborough),Average,Autumn,2022,0,13.9,1/03/2022,31/05/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Average,Spring,2022,0,12.933333333333334,1/09/2022,30/11/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Average,Summer,2022,0,17.933333333333334,1/12/2021,28/02/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Average,Winter,2022,0,8.933333333333334,1/06/2022,31/08/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Maximum,Autumn,2022,0,20.2,1/03/2022,31/05/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Maximum,Spring,2022,0,18.3,1/09/2022,30/11/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Maximum,Summer,2022,0,23.366666666666667,1/12/2021,28/02/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Maximum,Winter,2022,0,13.966666666666667,1/06/2022,31/08/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Minimum,Autumn,2022,0,7.633333333333334,1/03/2022,31/05/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Minimum,Spring,2022,0,7.566666666666667,1/09/2022,30/11/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Minimum,Summer,2022,0,12.466666666666667,1/12/2021,28/02/2022,-41.52133,173.86439,NA,1961-1990
Blenheim (Marlborough),Minimum,Winter,2022,0,3.8666666666666667,1/06/2022,31/08/2022,-41.52133,173.86439,NA,1961-1990
Christchurch (Canterbury),Average,Autumn,2022,0,12.733333333333334,1/03/2022,31/05/2022,-43.493,172.537,0.6700000000000017,1961-1990
Christchurch (Canterbury),Average,Spring,2022,0,11.833333333333332,1/09/2022,30/11/2022,-43.493,172.537,0.14222222222222136,1961-1990
Christchurch (Canterbury),Average,Summer,2022,0,16.566666666666666,1/12/2021,28/02/2022,-43.493,172.537,-0.014444444,1961-1990
Christchurch (Canterbury),Average,Winter,2022,0,7.533333333333333,1/06/2022,31/08/2022,-43.493,172.537,1.198888888888889,1961-1990
Christchurch (Canterbury),Maximum,Autumn,2022,0,18.166666666666668,1/03/2022,31/05/2022,-43.493,172.537,0.9911111111111133,1961-1990
Christchurch (Canterbury),Maximum,Spring,2022,0,17.3,1/09/2022,30/11/2022,-43.493,172.537,0.3822222222222216,1961-1990
Christchurch (Canterbury),Maximum,Summer,2022,0,20.966666666666665,1/12/2021,28/02/2022,-43.493,172.537,-0.711111111,1961-1990
Christchurch (Canterbury),Maximum,Winter,2022,0,12.7,1/06/2022,31/08/2022,-43.493,172.537,1.3522222222222204,1961-1990
Christchurch (Canterbury),Minimum,Autumn,2022,0,7.333333333333333,1/03/2022,31/05/2022,-43.493,172.537,0.3822222222222216,1961-1990
Christchurch (Canterbury),Minimum,Spring,2022,0,6.3999999999999995,1/09/2022,30/11/2022,-43.493,172.537,-0.066666667,1961-1990
Christchurch (Canterbury),Minimum,Summer,2022,0,12.2,1/12/2021,28/02/2022,-43.493,172.537,0.716666667,1961-1990
Christchurch (Canterbury),Minimum,Winter,2022,0,2.4,1/06/2022,31/08/2022,-43.493,172.537,1.0777777777777777,1961-1990
Dannevirke (Manawatu-Whanganui),Average,Autumn,2022,0,13.966666666666667,1/03/2022,31/05/2022,-40.21,176.109,1.424444444444445,1961-1990
Dannevirke (Manawatu-Whanganui),Average,Spring,2022,0,13.033333333333333,1/09/2022,30/11/2022,-40.21,176.109,1.4850574712643674,1961-1990
Dannevirke (Manawatu-Whanganui),Average,Summer,2022,0,18.166666666666668,1/12/2021,28/02/2022,-40.21,176.109,1.9540229885057485,1961-1990
Dannevirke (Manawatu-Whanganui),Average,Winter,2022,0,9.9,1/06/2022,31/08/2022,-40.21,176.109,2.344827586206897,1961-1990
Dannevirke (Manawatu-Whanganui),Maximum,Autumn,2022,0,18.9,1/03/2022,31/05/2022,-40.21,176.109,1.8588888888888881,1961-1990
Dannevirke (Manawatu-Whanganui),Maximum,Spring,2022,0,17.266666666666666,1/09/2022,30/11/2022,-40.21,176.109,1.4735632183908045,1961-1990
Dannevirke (Manawatu-Whanganui),Maximum,Summer,2022,0,23.166666666666668,1/12/2021,28/02/2022,-40.21,176.109,1.9666666666666686,1961-1990
Dannevirke (Manawatu-Whanganui),Maximum,Winter,2022,0,13.766666666666667,1/06/2022,31/08/2022,-40.21,176.109,2.5195402298850578,1961-1990
Dannevirke (Manawatu-Whanganui),Minimum,Autumn,2022,0,9.033333333333333,1/03/2022,31/05/2022,-40.21,176.109,0.9588888888888896,1961-1990
Dannevirke (Manawatu-Whanganui),Minimum,Spring,2022,0,8.766666666666666,1/09/2022,30/11/2022,-40.21,176.109,1.4311111111111101,1961-1990
Dannevirke (Manawatu-Whanganui),Minimum,Summer,2022,0,13.1,1/12/2021,28/02/2022,-40.21,176.109,1.8611111111111107,1961-1990
Dannevirke (Manawatu-Whanganui),Minimum,Winter,2022,0,6.033333333333333,1/06/2022,31/08/2022,-40.21,176.109,2.121111111111111,1961-1990
Dunedin (Otago),Average,Autumn,2022,0,13.333333333333334,1/03/2022,31/05/2022,-45.90129,170.5147,1.4011111111111116,1961-1990
Dunedin (Otago),Average,Spring,2022,0,11.299999999999999,1/09/2022,30/11/2022,-45.90129,170.5147,0.094444444,1961-1990
Dunedin (Otago),Average,Summer,2022,0,15.5,1/12/2021,28/02/2022,-45.90129,170.5147,0.4155555555555548,1961-1990
Dunedin (Otago),Average,Winter,2022,0,8.299999999999999,1/06/2022,31/08/2022,-45.90129,170.5147,1.0155555555555544,1961-1990
Dunedin (Otago),Maximum,Autumn,2022,0,17,1/03/2022,31/05/2022,-45.90129,170.5147,1.4355555555555561,1961-1990
Dunedin (Otago),Maximum,Spring,2022,0,15.066666666666666,1/09/2022,30/11/2022,-45.90129,170.5147,-0.065555556,1961-1990
Dunedin (Otago),Maximum,Summer,2022,0,18.866666666666667,1/12/2021,28/02/2022,-45.90129,170.5147,-0.013333333,1961-1990
Dunedin (Otago),Maximum,Winter,2022,0,11.966666666666667,1/06/2022,31/08/2022,-45.90129,170.5147,1.131111111111112,1961-1990
Dunedin (Otago),Minimum,Autumn,2022,0,9.666666666666666,1/03/2022,31/05/2022,-45.90129,170.5147,1.3677777777777766,1961-1990
Dunedin (Otago),Minimum,Spring,2022,0,7.533333333333333,1/09/2022,30/11/2022,-45.90129,170.5147,0.24666666666666615,1961-1990
Dunedin (Otago),Minimum,Summer,2022,0,12.133333333333333,1/12/2021,28/02/2022,-45.90129,170.5147,0.8533333333333335,1961-1990
Dunedin (Otago),Minimum,Winter,2022,0,4.633333333333334,1/06/2022,31/08/2022,-45.90129,170.5147,0.8866666666666672,1961-1990
Gisborne (Gisborne),Average,Autumn,2022,0,15.233333333333334,1/03/2022,31/05/2022,-38.6586,177.9851,0.6711111111111112,1961-1990
Gisborne (Gisborne),Average,Spring,2022,0,14.5,1/09/2022,30/11/2022,-38.6586,177.9851,0.9222222222222225,1961-1990
Gisborne (Gisborne),Average,Summer,2022,0,19.833333333333332,1/12/2021,28/02/2022,-38.6586,177.9851,1.5299999999999976,1961-1990
Gisborne (Gisborne),Average,Winter,2022,0,12.066666666666666,1/06/2022,31/08/2022,-38.6586,177.9851,2.4877777777777776,1961-1990
Gisborne (Gisborne),Maximum,Autumn,2022,0,19.96666666666667,1/03/2022,31/05/2022,-38.6586,177.9851,0.171111111,1961-1990
Gisborne (Gisborne),Maximum,Spring,2022,0,19.1,1/09/2022,30/11/2022,-38.6586,177.9851,0.21777777777777985,1961-1990
Gisborne (Gisborne),Maximum,Summer,2022,0,24.5,1/12/2021,28/02/2022,-38.6586,177.9851,0.5822222222222209,1961-1990
Gisborne (Gisborne),Maximum,Winter,2022,0,16.233333333333334,1/06/2022,31/08/2022,-38.6586,177.9851,1.9666666666666668,1961-1990
Gisborne (Gisborne),Minimum,Autumn,2022,0,10.5,1/03/2022,31/05/2022,-38.6586,177.9851,1.1622222222222227,1961-1990
Gisborne (Gisborne),Minimum,Spring,2022,0,9.966666666666667,1/09/2022,30/11/2022,-38.6586,177.9851,1.6944444444444446,1961-1990
Gisborne (Gisborne),Minimum,Summer,2022,0,15.166666666666668,1/12/2021,28/02/2022,-38.6586,177.9851,2.453333333333335,1961-1990
Gisborne (Gisborne),Minimum,Winter,2022,0,7.866666666666666,1/06/2022,31/08/2022,-38.6586,177.9851,3.0088888888888885,1961-1990
Gore (Southland),Average,Autumn,2022,0,11.9,1/03/2022,31/05/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Average,Spring,2022,0,10.633333333333333,1/09/2022,30/11/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Average,Summer,2022,0,14.866666666666667,1/12/2021,28/02/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Average,Winter,2022,0,6.233333333333333,1/06/2022,31/08/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Maximum,Autumn,2022,0,16.766666666666666,1/03/2022,31/05/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Maximum,Spring,2022,0,15.566666666666666,1/09/2022,30/11/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Maximum,Summer,2022,0,19.9,1/12/2021,28/02/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Maximum,Winter,2022,0,10.299999999999999,1/06/2022,31/08/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Minimum,Autumn,2022,0,7.1000000000000005,1/03/2022,31/05/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Minimum,Spring,2022,0,5.666666666666666,1/09/2022,30/11/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Minimum,Summer,2022,0,9.766666666666667,1/12/2021,28/02/2022,-46.115,168.887,NA,1961-1990
Gore (Southland),Minimum,Winter,2022,0,2.1666666666666665,1/06/2022,31/08/2022,-46.115,168.887,NA,1961-1990
Hamilton (Waikato),Average,Autumn,2022,0,15.433333333333334,1/03/2022,31/05/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Average,Spring,2022,0,13.866666666666665,1/09/2022,30/11/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Average,Summer,2022,0,19.96666666666667,1/12/2021,28/02/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Average,Winter,2022,0,10.833333333333334,1/06/2022,31/08/2022,-37.86088,175.33175,NA,1961-1990
Hamilton (Waikato),Maximum,Autumn,2022,0,21.8,1/03/2022,31/05/2022,-37.86088,175.33175,NA,1961-1990
