"citation","n_reviewers","all_reviewers"
"Ptak, M., Amnuaylojaroen, T., & Sojka, M. (2024). Seven Decades of Surface Temperature Changes in Central European Lakes: What Is Next?. Resources, 13(11), 149.",2,"WW, CB"
"Woolway, R. I., Carrea, L., Merchant, C. J., Dokulil, M. T., de Eyto, E., DeGasperi, C. L., ... & Weyhenmeyer, G. A. (2018). Lake surface temperature [in State of the Climate in 2017]. Bulletin of the American Meteorological Society, 99(8), S13-15.",2,"MA, CB"
"Noori, R., Woolway, R. I., Jun, C., Bateni, S. M., Naderian, D., Partani, S., ... & Pulkkanen, M. (2023). Multi-decadal change in summer mean water temperature in Lake Konnevesi, Finland (19842021). Ecological Informatics, 78, 102331.",2,"MA, CB"
"Stefanidis, K., Varlas, G., Papadopoulos, A., & Dimitriou, E. (2021). Four decades of surface temperature, precipitation, and wind speed trends over lakes of Greece. Sustainability, 13(17), 9908.",2,"WW, CB"
"Ptak, M., Sojka, M., Szyga-Pluta, K., Baloch, M. Y. J., & Amnuaylojaroen, T. (2025). Is Everything Lost? Recreating the Surface Water Temperature of Unmonitored Lakes in Poland [Article]. Resources, 14(4), Article 67. https://doi.org/10.3390/resources14040067 ",3,"MA, MP, CB"
