"data_released","Year the data was released"
"source","Source of data"
"p_value","P value"
"slope, conf_low, conf_high","Rate of change per year and their lower and upper confidence intervals"
"conf_level","confidence level (95%)"
"intercept, r_squared, sigma","Linear model statistics"
"trend_method","Whether the information in this row correspond to the Linear model slope or the Mann-Kendall test"
"n","number of observations used to calculate the trend"
"period_start","Start of the period for which the trend was assessed"
"period_end","End of the period for which the trend was assessed"
