"site","NIWA monitoring site"
"period_start","Start of the period for which the trend was assessed"
"period_end","End of the period for which the trend was assessed"
"p_value","P value"
"slope, conf_low, conf_high","Rate of change per year and their lower and upper confidence intervals"
"conf_level","confidence level (66% or 90% to match IPCC likelihood levels)"
"z","Z score"
"trend_method","Whether the information in this row correspond to the Sen slope or the Mann-Kendall test"
"n","number of observations used to calculate the trend"
"note","analysis note"
"s, var_s, tau","Mann-Kendall trend statistics"
"alternative","the alternative hypothesis used for the Mann-Kendall test"
"trend_likelihood","Likelihood categories adapted from IPCC. Indicates the likelihood that a trend is increasing, decreasing, or indeterminate"
"lat","Latitude"
"lon","Longitude"
