"year","temperature","data_released","source","anomaly","reference_period"
1999,13.35,2023,"NIWA 7 Station",0.6099999999999994,"1991-2020"
2000,12.79,2023,"NIWA 7 Station",0.32099999999999973,"1961-1990"
2000,12.79,2023,"NIWA 7 Station",0.049999999999998934,"1991-2020"
2001,12.9,2023,"NIWA 7 Station",0.43100000000000094,"1961-1990"
2001,12.9,2023,"NIWA 7 Station",0.16000000000000014,"1991-2020"
2002,12.67,2023,"NIWA 7 Station",0.2010000000000005,"1961-1990"
2002,12.67,2023,"NIWA 7 Station",-0.07000000000000028,"1991-2020"
2003,12.62,2023,"NIWA 7 Station",0.1509999999999998,"1961-1990"
2003,12.62,2023,"NIWA 7 Station",-0.120000000000001,"1991-2020"
2004,12.17,2023,"NIWA 7 Station",-0.2989999999999995,"1961-1990"
2004,12.17,2023,"NIWA 7 Station",-0.5700000000000003,"1991-2020"
2005,13.11,2023,"NIWA 7 Station",0.641,"1961-1990"
2005,13.11,2023,"NIWA 7 Station",0.3699999999999992,"1991-2020"
2006,12.4,2023,"NIWA 7 Station",-0.06899999999999906,"1961-1990"
2006,12.4,2023,"NIWA 7 Station",-0.33999999999999986,"1991-2020"
2007,12.67,2023,"NIWA 7 Station",0.2010000000000005,"1961-1990"
2007,12.67,2023,"NIWA 7 Station",-0.07000000000000028,"1991-2020"
2008,12.86,2023,"NIWA 7 Station",0.391,"1961-1990"
2008,12.86,2023,"NIWA 7 Station",0.11999999999999922,"1991-2020"
2009,12.29,2023,"NIWA 7 Station",-0.17900000000000027,"1961-1990"
2009,12.29,2023,"NIWA 7 Station",-0.45000000000000107,"1991-2020"
2010,13.07,2023,"NIWA 7 Station",0.6010000000000009,"1961-1990"
2010,13.07,2023,"NIWA 7 Station",0.33000000000000007,"1991-2020"
2011,12.83,2023,"NIWA 7 Station",0.36100000000000065,"1961-1990"
2011,12.83,2023,"NIWA 7 Station",0.08999999999999986,"1991-2020"
2012,12.45,2023,"NIWA 7 Station",-0.019000000000000128,"1961-1990"
2012,12.45,2023,"NIWA 7 Station",-0.2900000000000009,"1991-2020"
2013,13.33,2023,"NIWA 7 Station",0.8610000000000007,"1961-1990"
2013,13.33,2023,"NIWA 7 Station",0.5899999999999999,"1991-2020"
2014,12.79,2023,"NIWA 7 Station",0.32099999999999973,"1961-1990"
2014,12.79,2023,"NIWA 7 Station",0.049999999999998934,"1991-2020"
2015,12.75,2023,"NIWA 7 Station",0.2810000000000006,"1961-1990"
2015,12.75,2023,"NIWA 7 Station",0.009999999999999787,"1991-2020"
2016,13.44,2023,"NIWA 7 Station",0.9710000000000001,"1961-1990"
2016,13.44,2023,"NIWA 7 Station",0.6999999999999993,"1991-2020"
2017,13.15,2023,"NIWA 7 Station",0.6810000000000009,"1961-1990"
2017,13.15,2023,"NIWA 7 Station",0.41000000000000014,"1991-2020"
2018,13.41,2023,"NIWA 7 Station",0.9410000000000007,"1961-1990"
2018,13.41,2023,"NIWA 7 Station",0.6699999999999999,"1991-2020"
2019,13.37,2023,"NIWA 7 Station",0.9009999999999998,"1961-1990"
2019,13.37,2023,"NIWA 7 Station",0.629999999999999,"1991-2020"
2020,13.24,2023,"NIWA 7 Station",0.7710000000000008,"1961-1990"
2020,13.24,2023,"NIWA 7 Station",0.5,"1991-2020"
2021,13.56,2023,"NIWA 7 Station",1.091000000000001,"1961-1990"
2021,13.56,2023,"NIWA 7 Station",0.8200000000000003,"1991-2020"
2022,13.76,2023,"NIWA 7 Station",1.2910000000000004,"1961-1990"
2022,13.76,2023,"NIWA 7 Station",1.0199999999999996,"1991-2020"
1909,NA,2022,"IPCC",-1.2533518666666668,"1991-2020"
1910,NA,2022,"IPCC",-1.2325838666666666,"1991-2020"
1911,NA,2022,"IPCC",-1.3002798666666666,"1991-2020"
1912,NA,2022,"IPCC",-1.3000958666666667,"1991-2020"
1913,NA,2022,"IPCC",-1.1723398666666667,"1991-2020"
1914,NA,2022,"IPCC",-0.9082258666666667,"1991-2020"
1915,NA,2022,"IPCC",-0.9069558666666666,"1991-2020"
1916,NA,2022,"IPCC",-1.2659218666666667,"1991-2020"
1917,NA,2022,"IPCC",-1.4528958666666667,"1991-2020"
1918,NA,2022,"IPCC",-1.3004618666666667,"1991-2020"
1919,NA,2022,"IPCC",-1.1212978666666666,"1991-2020"
1920,NA,2022,"IPCC",-1.1575798666666666,"1991-2020"
1921,NA,2022,"IPCC",-0.9704858666666667,"1991-2020"
1922,NA,2022,"IPCC",-1.1212758666666667,"1991-2020"
1923,NA,2022,"IPCC",-1.1175498666666668,"1991-2020"
1924,NA,2022,"IPCC",-1.0852158666666667,"1991-2020"
1925,NA,2022,"IPCC",-1.0223338666666666,"1991-2020"
1926,NA,2022,"IPCC",-0.8612078666666667,"1991-2020"
1927,NA,2022,"IPCC",-1.0486678666666667,"1991-2020"
1928,NA,2022,"IPCC",-0.9588958666666667,"1991-2020"
1929,NA,2022,"IPCC",-1.3158458666666666,"1991-2020"
1930,NA,2022,"IPCC",-0.9530178666666667,"1991-2020"
1931,NA,2022,"IPCC",-0.8939918666666666,"1991-2020"
1932,NA,2022,"IPCC",-0.8795958666666667,"1991-2020"
1933,NA,2022,"IPCC",-1.1970018666666666,"1991-2020"
1934,NA,2022,"IPCC",-0.9370638666666666,"1991-2020"
1935,NA,2022,"IPCC",-1.0303638666666668,"1991-2020"
1936,NA,2022,"IPCC",-0.9851238666666666,"1991-2020"
1937,NA,2022,"IPCC",-0.8837098666666667,"1991-2020"
1938,NA,2022,"IPCC",-0.7077178666666667,"1991-2020"
1939,NA,2022,"IPCC",-0.7820678666666667,"1991-2020"
1940,NA,2022,"IPCC",-0.8055498666666667,"1991-2020"
1941,NA,2022,"IPCC",-0.8148958666666667,"1991-2020"
1942,NA,2022,"IPCC",-0.8614738666666667,"1991-2020"
1943,NA,2022,"IPCC",-0.8286078666666667,"1991-2020"
1944,NA,2022,"IPCC",-0.7082878666666667,"1991-2020"
1945,NA,2022,"IPCC",-0.9762338666666667,"1991-2020"
1946,NA,2022,"IPCC",-0.9038238666666667,"1991-2020"
1947,NA,2022,"IPCC",-0.8193678666666666,"1991-2020"
1948,NA,2022,"IPCC",-0.8279458666666667,"1991-2020"
1949,NA,2022,"IPCC",-0.9551318666666666,"1991-2020"
1950,NA,2022,"IPCC",-1.1893438666666667,"1991-2020"
1951,NA,2022,"IPCC",-0.9361278666666667,"1991-2020"
1952,NA,2022,"IPCC",-0.9160058666666666,"1991-2020"
1953,NA,2022,"IPCC",-0.6815658666666666,"1991-2020"
1954,NA,2022,"IPCC",-0.9803938666666667,"1991-2020"
1955,NA,2022,"IPCC",-0.9676638666666666,"1991-2020"
1956,NA,2022,"IPCC",-1.2680358666666667,"1991-2020"
1957,NA,2022,"IPCC",-0.9053358666666667,"1991-2020"
1958,NA,2022,"IPCC",-0.8036638666666667,"1991-2020"
1959,NA,2022,"IPCC",-0.8255418666666667,"1991-2020"
1960,NA,2022,"IPCC",-0.9537558666666667,"1991-2020"
1961,NA,2022,"IPCC",-0.7655718666666667,"1991-2020"
1962,NA,2022,"IPCC",-0.7931478666666667,"1991-2020"
1963,NA,2022,"IPCC",-0.6997098666666667,"1991-2020"
1964,NA,2022,"IPCC",-1.1191538666666667,"1991-2020"
1965,NA,2022,"IPCC",-0.9946438666666666,"1991-2020"
1966,NA,2022,"IPCC",-0.9288418666666667,"1991-2020"
1967,NA,2022,"IPCC",-0.8474958666666667,"1991-2020"
1968,NA,2022,"IPCC",-1.0267358666666666,"1991-2020"
