"year","temperature","data_released","source","anomaly","reference_period"
1957,NA,2022,"IPCC",-0.14255079999999998,"1961-1990"
1958,NA,2022,"IPCC",-0.04087879999999999,"1961-1990"
1959,NA,2022,"IPCC",-0.0627568,"1961-1990"
1960,NA,2022,"IPCC",-0.1909708,"1961-1990"
1961,NA,2022,"IPCC",-0.002786799999999978,"1961-1990"
1962,NA,2022,"IPCC",-0.030362800000000023,"1961-1990"
1963,NA,2022,"IPCC",0.0630752,"1961-1990"
1964,NA,2022,"IPCC",-0.3563688,"1961-1990"
1965,NA,2022,"IPCC",-0.23185879999999998,"1961-1990"
1966,NA,2022,"IPCC",-0.1660568,"1961-1990"
1967,NA,2022,"IPCC",-0.084710799999999975,"1961-1990"
1968,NA,2022,"IPCC",-0.2639508,"1961-1990"
1969,NA,2022,"IPCC",-0.20942480000000002,"1961-1990"
1970,NA,2022,"IPCC",-0.0781248,"1961-1990"
1971,NA,2022,"IPCC",-0.1629468,"1961-1990"
1972,NA,2022,"IPCC",-0.2955308,"1961-1990"
1973,NA,2022,"IPCC",0.17828520000000003,"1961-1990"
1974,NA,2022,"IPCC",-0.2988628,"1961-1990"
1975,NA,2022,"IPCC",-0.0026888000000000467,"1961-1990"
1976,NA,2022,"IPCC",-0.38610279999999997,"1961-1990"
1977,NA,2022,"IPCC",0.0984372,"1961-1990"
1978,NA,2022,"IPCC",-0.05971480000000001,"1961-1990"
1979,NA,2022,"IPCC",-0.011562799999999984,"1961-1990"
1980,NA,2022,"IPCC",0.2149932,"1961-1990"
1981,NA,2022,"IPCC",0.40033719999999995,"1961-1990"
1982,NA,2022,"IPCC",-0.05874879999999999,"1961-1990"
1983,NA,2022,"IPCC",0.3141252,"1961-1990"
1984,NA,2022,"IPCC",-0.054626799999999975,"1961-1990"
1985,NA,2022,"IPCC",-0.04959279999999999,"1961-1990"
1986,NA,2022,"IPCC",0.11535720000000005,"1961-1990"
1987,NA,2022,"IPCC",0.2547492,"1961-1990"
1988,NA,2022,"IPCC",0.4546652,"1961-1990"
1989,NA,2022,"IPCC",0.21607920000000003,"1961-1990"
1990,NA,2022,"IPCC",0.4939191999999999,"1961-1990"
1991,NA,2022,"IPCC",0.4413652,"1961-1990"
1992,NA,2022,"IPCC",0.08513720000000002,"1961-1990"
1993,NA,2022,"IPCC",0.14185119999999996,"1961-1990"
1994,NA,2022,"IPCC",0.3115392,"1961-1990"
1995,NA,2022,"IPCC",0.6022532,"1961-1990"
1996,NA,2022,"IPCC",0.2778372,"1961-1990"
1997,NA,2022,"IPCC",0.47472519999999996,"1961-1990"
1998,NA,2022,"IPCC",0.7811052,"1961-1990"
1999,NA,2022,"IPCC",0.5638192,"1961-1990"
2000,NA,2022,"IPCC",0.4703672000000001,"1961-1990"
2001,NA,2022,"IPCC",0.6872491999999999,"1961-1990"
2002,NA,2022,"IPCC",0.8209991999999999,"1961-1990"
2003,NA,2022,"IPCC",0.7804511999999999,"1961-1990"
2004,NA,2022,"IPCC",0.6158732,"1961-1990"
2005,NA,2022,"IPCC",0.9479952,"1961-1990"
2006,NA,2022,"IPCC",0.8213252,"1961-1990"
2007,NA,2022,"IPCC",1.0100252,"1961-1990"
2008,NA,2022,"IPCC",0.7282152,"1961-1990"
2009,NA,2022,"IPCC",0.7980872000000001,"1961-1990"
2010,NA,2022,"IPCC",0.9748152000000001,"1961-1990"
2011,NA,2022,"IPCC",0.7965272000000001,"1961-1990"
2012,NA,2022,"IPCC",0.7979031999999999,"1961-1990"
2013,NA,2022,"IPCC",0.8888852,"1961-1990"
2014,NA,2022,"IPCC",0.8588012,"1961-1990"
2015,NA,2022,"IPCC",1.1522752,"1961-1990"
2016,NA,2022,"IPCC",1.3115372,"1961-1990"
2017,NA,2022,"IPCC",1.2050892,"1961-1990"
2018,NA,2022,"IPCC",0.9979572000000001,"1961-1990"
2019,NA,2022,"IPCC",1.1942612,"1961-1990"
2020,NA,2022,"IPCC",1.3452792,"1961-1990"
