"site","statistic","month","year","data_value","lat","lon","unit"
"Auckland","Average max gust",3,2010,44.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2011,38.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2012,42.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2013,37.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2014,37.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2015,39.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2016,38.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2017,38.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2018,38,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2019,34.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2020,39,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2021,37,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",3,2022,40.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,1995,37.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,1996,40.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,1997,41.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,1998,37,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,1999,40.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2000,39.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2001,37.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2002,36.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2003,33.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2004,38,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2005,38.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2006,40.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2007,33.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2008,40.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2009,41.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2010,36,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2011,38.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2012,NA,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2013,39,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2014,39.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2015,43,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2016,32.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2017,38.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2018,46.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2019,35.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2020,36.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2021,41.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",4,2022,38.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,1995,41,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,1996,46.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,1997,35,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,1998,44.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,1999,35.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2000,39.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2001,47.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2002,49.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2003,38.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2004,39.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2005,39.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2006,43.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2007,35.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2008,33.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2009,45.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2010,40.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2011,47.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2012,42,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2013,42.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2014,34.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2015,40.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2016,47,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2017,38.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2018,39.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2019,39.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2020,35.9,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2021,39.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",5,2022,39.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,1995,46,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,1996,46.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,1997,41.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,1998,40.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,1999,33.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2000,43.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2001,34.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2002,52,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2003,40.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2004,46.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2005,43.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2006,39.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2007,46.1,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2008,49.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2009,38.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2010,45.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2011,42.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2012,40.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2013,39,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2014,41.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2015,47.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2016,42.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2017,34.6,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2018,38.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2019,37.7,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2020,41.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2021,39.4,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",6,2022,44.5,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,1995,54.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,1996,39.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,1997,36.2,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,1998,46.8,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,1999,41,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2000,47.3,-37.00813,174.78873,"km/hr"
"Auckland","Average max gust",7,2001,36.5,-37.00813,174.78873,"km/hr"
