site,slope_decade,conf_low_9,conf_low_6.6,conf_high_9,conf_high_6.6,trend_likelihood
Auckland (Auckland),-2,-4,-3.2,-0.1,-0.8,Very likely decreasing
Blenheim (Marlborough),-1.2,-2.8,-2.2,0.5,-0.2,Likely decreasing
Christchurch (Canterbury),0.5,-1.2,-0.4,2,1.4,Likely increasing
Dannevirke (Manawatu-Whanganui),-0.6,-2.8,-1.8,1.7,0.7,Likely decreasing
Dunedin (Otago),2.5,0.5,1.3,4.5,3.6,Very likely increasing
Gisborne (Gisborne),-0.1,-3,-1.8,2.9,1.5,Indeterminate
Gore (Southland),1.4,0.2,0.8,2.7,2.1,Very likely increasing
Hamilton (Waikato),-2.3,-4.4,-3.5,-0.5,-1.3,Very likely decreasing
Hokitika (West Coast),4.7,1.1,2.6,8.1,6.8,Very likely increasing
Invercargill (Southland),-0.2,-1.5,-1,1,0.6,Indeterminate
Kerikeri (Northland),4.3,0,2,8.2,6.5,Very likely increasing
Lake Tekapo (Canterbury),1.2,-0.8,0,3.8,2.8,Likely increasing
Masterton (Wellington),0.7,-1.3,-0.5,2.7,1.9,Likely increasing
Milford Sound (Southland),1.7,-5.7,-2.1,8.2,5.7,Likely increasing
Napier (Hawke's Bay),0.6,-2,-0.9,3.9,2.4,Indeterminate
Nelson (Nelson),0,-2.7,-1.9,2.9,1.7,Indeterminate
New Plymouth (Taranaki),-2.7,-4.9,-4,-0.2,-1.3,Very likely decreasing
Queenstown (Otago),0.2,-1.4,-0.7,2,1.2,Indeterminate
Reefton (West Coast),2.7,0.4,1.4,4.7,3.9,Very likely increasing
Rotorua (Bay of Plenty),-1.8,-4.6,-3.6,0.9,-0.4,Likely decreasing
Tara Hills (Canterbury),-0.5,-2.1,-1.5,1.2,0.4,Likely decreasing
Taumarunui (Manawatu-Whanganui),1.7,-0.3,0.4,3.7,2.9,Very likely increasing
Taupo (Waikato),-0.7,-2.9,-1.9,1.1,0.3,Likely decreasing
Tauranga (Bay of Plenty),-4.3,-7.8,-6,-0.4,-2.1,Very likely decreasing
Timaru (Canterbury),1.2,-0.3,0.4,3,2.2,Very likely increasing
Waiouru (Manawatu-Whanganui),0,-1.7,-1,1.5,0.8,Indeterminate
Wellington (Wellington),-0.5,-2.1,-1.5,1.4,0.7,Indeterminate
Whanganui (Manawatu-Whanganui),0.9,-0.9,0,2.6,1.8,Likely increasing
Whangaparaoa (Auckland),-0.3,-3.3,-2.1,2.7,1.4,Indeterminate
Whangarei (Northland),-1.1,-5,-3.3,2.9,1.2,Likely decreasing
