LID,lat,MaxDepth,Catch_area,LakeAreaHa,LakeVolume,LakeElevat,SumWind,MeanWind,CatSlope,CatPhos,CatHard,lambda_dom_std,lambda_dom_median,lambda_dom_hidecile,purity_std,purity_median,chl_median,Name,TotalSUDensity,Prop_Dairy,PastureHeavy,Wetland,Forestry,PastureLight,Exotic,Native,Bare,Urban,Fetch_sqrt
27572,-41.7472599408039,18.5576,5937975.4225911,4.54953,281429.0,622.93,4.71,4.91119,26.75,3.0,3.98,29.0342883639901,499.46061928901,553.219348468397,8.63535305629371,18.2767850000813,13.2615913333333,Lake Alexander,0.0031669818126697,0.0134812929133576,0.0,0.0,0.0,0.049246607,0.0,47.088635866,6.274502706,0.0,20.73644135332772
27594,-42.1640580550673,2.99723,268563.7623275,1.67814,16765.9,29.45,4.62,4.36332,3.05,3.83,3.83,,,,,,, ,5.26479082633026,0.0,41.27494122,0.0,0.0,48.34545974,7.642021986,0.0,2.737577048,0.0,14.832396974191326
27616,-42.0348560690885,21.5872999999999,1885686.0202725,1.48125,106588.0,174.42,4.85,4.62157,11.81,2.6,2.78,,,,,,, ,4.35625061603596,0.0,95.57550912,0.0,0.0,0.0,0.0,3.374608944,1.049881935,0.0,13.784048752090222
27634,-42.1234730152541,10.0833999999999,32590.2010597999,1.19125,40039.4,1055.69,2.8,2.96897,3.88,4.0,2.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,15.491933384829668
27635,-42.1179056954626,18.6278,322295.1990546,2.10155,130491.0,949.77,2.45,2.60476,8.31,3.65,2.92,,,,,,, ,0.0,0.0,0.0,4.163307347,0.0,95.83669265,0.0,0.0,0.0,0.0,16.73320053068151
27657,-42.4510048932847,23.9862,224879.3376231,1.35427,108279.0,397.36,3.57,3.6338,8.52,3.04,4.0,,,,,,, ,1.76846819492562,0.0,50.93893198,0.0,0.0,16.46650094,0.0,32.594567067999996,0.0,0.0,12.24744871391589
27675,-41.9701730471966,26.2887999999999,318256.010926,1.69688,148696.0,1734.71,3.91,4.62652,20.52,3.0,4.0,31.8490027367206,555.988537323972,571.893108827556,21.8687802163267,13.3131219506987,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.32959946,0.0,13.784048752090222
27677,-41.9547451155167,15.7934,292219.0087334,1.25141,65879.8,1636.69,3.72,4.29558,18.77,3.0,4.0,29.2853216989581,501.885858831226,566.407891613863,7.96471441901385,12.5786751318739,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6926899,0.0,12.24744871391589
27694,-41.8786214223369,27.4128,1167682.5785752,1.28903,117786.0,1519.69,4.9,5.03643,15.76,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.05985079,0.0,13.784048752090222
27708,-41.865330982173,25.4679,456881.6802202,1.43978,122227.0,1551.68,5.04,5.23865,19.09,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.72301528,0.0,12.649110640673518
27719,-41.8956562977679,17.1675,188951.5917149,1.53812,88019.0,1668.79,4.92,5.21288,18.26,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.79532277,0.0,13.416407864998739
27730,-41.8753299088815,20.8279999999999,438103.4334661,4.24044,294400.0,1615.72,4.9,5.13448,12.77,3.0,4.0,23.0646561831338,536.920328626392,571.825385128008,6.03009464150668,14.3781981984196,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8930087,0.0,17.320508075688775
27736,-41.8783540682043,24.6619999999999,1108218.9792043,2.71789,223429.0,1474.64,4.77,4.98785,21.33,3.0,4.0,,,,,,, ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.869800361,0.0,15.165750888103101
